"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bahamas, The","BHS","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","14.6817707557013","16.3662239089184","19.2720563569272","20.1526242018377","19.7054698457223","17.8279673234022","15.9413918282688","16.6329663745975","17.7777777777778","17.5378571881138","17.4342105263158","15.8394983097349","15.5168705785699","16.3437815975733","","16.6719897796231","16.8582625734814","16.6108654453569","17.4629398680878","18.0829848825989","17.4320827943079","17.1371586376189","17.3694954797317","18.2571349404267","11.2387956464888","10.7095483534849","10.3294303521533","10.2594326481743","10.4233916778775","10.3894085907697","11.2625689254562","11.2784571228531","11.3576991114455","11.6635471735228","11.8675423842145","12.77773133194","14.2433449943698","13.8348970260783","15.1664821333704","14.4889044354275","14.7226937408258","14.5961140061877","14.5375796070317","16.898629928709","19.0974996094424","",
"Bosnia and Herzegovina","BIH","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.6172729026338","33.9930338474708","36.0736125775401","37.8310007459561","39.8245485260411","39.1633455142932","38.1186179452594","39.0326694266153","37.3655580614393","39.9462725386932","36.9160703202984","35.3266106177172","","",
"Belarus","BLR","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.6304347826087","36.3654822335025","29.9409880290002","28.7417114898314","27.723455606003","27.2144044925442","25.9043438755499","27.0587667676559","25.3401651010532","26.8710548994946","24.6783838275634","28.2128169988623","29.2698762597066","30.250762674224","32.4134847792902","34.6577822535411","33.9503611411595","31.7738362587998","29.4646663056614","25.4492994190304","27.6224227639515","28.2546964798114","27.410400205909","28.110499205426","29.4170537971155","29.4746812444985","",
"Belize","BLZ","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.6627659684341","16.951086721274","18.2124428666228","19.7344595707931","21.1012497424095","18.6474707985482","18.7040115450375","19.3136525280242","19.2235778490751","19.8743101761509","17.8692973190015","19.388420580079","18.8855450771987","21.4077196388577","25.4287606271426","24.6240203869547","25.4937780821865","23.7218447388658","23.1561213090378","25.0528097482245","24.6942200853607","24.5225711159204","22.6250606804323","24.1658364896742","24.4535038792361","","","","",
"Bermuda","BMU","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","11.9746012267197","12.2360569618786","11.6792374253852","13.0645366367137","14.1920656529865","14.528441373589","17.5620012095936","20.3773920315284","18.9761003826049","17.7068002917195","18.8322627750955","19.6888540559611","19.6762971578986","20.5041201881171","20.5536490449212","24.2449167486935","28.7844352060692","28.2076377036326","27.2111987638891","25.9831531907592","23.938039331039","21.8110434484821","","","","","","","","","","","",
"Brazil","BRA","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","18.5738607002404","18.7510221254451","19.3901836469696","19.3590263589498","19.5549412036122","24.4263394403174","25.9871057837054","23.5729009045709","30.1263788156626","36.5686787803611","34.1872752580131","23.4708495564325","28.4832206205625","36.5103738104717","32.2072808091906","","","21.8155820747476","21.8945006327018","21.7098640712353","21.3681148648164","22.5816411826837","22.6273265089205","24.6883956034234","22.7005184708353","25.3690101344272","27.8346932578313","26.8096878414617","27.3054586639263","26.3370727981354","30.2679853616573","30.7549556960853","30.1777956851509","30.206540973065","31.3787747867243","36.1580527182412","35.7332420572231","34.8963465460597","",
"Barbados","BRB","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.4457914102936","25.2820578485353","27.5427897148026","27.160181456363","29.2681958478249","30.9179254391468","33.8793459748435","34.3532494646681","32.2486275719282","35.1640355643369","36.0149048455285","34.0904431955038","36.2986967267651","","","",
"Brunei Darussalam","BRN","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","15.1179755710549","13.6987284279409","15.9710820961985","20.7244838300912","16.6420678316665","","21.2007613141","20.4636795142626","20.557123772059","19.6498710597023","18.196810387882","17.7345147327181","19.464287482123","20.1576638428572","23.3382281113061","19.6242206696467","17.199069599131","18.0927595598282","19.1859745433812","20.1846473963324","18.4903344276281","18.5450729352952","16.9858870481841","19.7556697383668","19.2979598899846","18.3841057256623","22.5641896828876","23.2878097384884","21.704169827717","21.859143025309","20.4358757554924","20.1421780934233","18.1649179121801","18.8664046934208","16.5699350017814","","",
"Botswana","BWA","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.6816025863719","27.8405419816203","30.4987482710136","32.6279809985908","29.0775365994438","30.6240563663815","28.9626370625942","","","","","","","","","","28.7005065618311","30.090572375354","35.0511965317378","38.608109273956","33.1241812213197","29.3186626770423","30.4844013563869","28.2394023450995","27.73287515291","29.3438538394978","25.8123931039954","26.0500065838778","",
"Central African Republic","CAF","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.011802543476","17.8638012706044","19.3020708125379","16.1553932795306","","","","","","","",
"Canada","CAN","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.1874062946881","25.4577384723412","25.6199905309775","25.2170269457218","23.8232213267267","23.5052287589584","22.4184181754749","20.4384988638149","20.2442134013304","19.8241635273223","18.8372430559335","18.7771206614614","18.0270410239337","18.1011984979785","17.3248806696024","17.8811569002165","17.0775234267096","17.0072804366228","17.1258431275988","18.9019149974639","19.1296594552415","17.8920314002538","17.5597759061843","17.1273527929964","16.4409249414626","17.0391561327799","17.3365738052357","17.3116528234479","",
